장소 POI에 대한 ID 구분 번호 체계,위치좌표 X축값 ,위치좌표 Y축값 ,종류 구분 체계 ,장소 명칭,전화번호,추가전화번호,팩스번호,주소,신규 거리명 주소,데이터기준일자
65016,126.713158,33.553139,문화/종교/예술,동복민속예술단,,,,제주특별자치도 제주시 구좌읍 동복리 1547-1,제주특별자치도 제주시 동복로3길 2,2015-12-31
65017,126.637242,33.475313,도로시설,회천사거리,,,,제주특별자치도 제주시 조천읍 와흘리 2819-1,,2015-12-31
65018,126.675677,33.435376,음식점,달세는달만생각한다(구),064-784-4403,,,제주특별자치도 제주시 조천읍 교래리 501-2,제주특별자치도 제주시 비자림로 637,2015-12-31
65019,126.676827,33.436334,공공기관,교래리보건진료소,064-783-9827,,064-741-0428,제주특별자치도 제주시 조천읍 교래리 484-1,제주특별자치도 제주시 비자림로 652,2015-12-31
65020,126.678263,33.468614,도로시설,대흘사거리,,,,제주특별자치도 제주시 조천읍 와산리 1302,,2015-12-31
65021,126.699636,33.485029,음식점,선흘방주식당,064-783-1253,,,제주특별자치도 제주시 조천읍 선흘리 2040-1,제주특별자치도 제주시 와선로 254,2015-12-31
65022,126.733782,33.51596,관광/숙박,태왕사신기세트장묘산봉,064-710-2114,,,제주특별자치도 제주시 구좌읍 김녕리 산 157-4,제주특별자치도 제주시 선유로 505,2015-12-31
65023,126.778278,33.548607,지명관련,(거문오름용암동굴계)용천동굴,064-783-3001,,,제주특별자치도 제주시 구좌읍 월정리 1837-2,,2015-12-31
65024,126.772091,33.536225,관광/숙박,김녕미로공원매표소,,,,제주특별자치도 제주시 구좌읍 김녕리 산 16,제주특별자치도 제주시 만장굴길 122,2015-12-31
65025,126.787854,33.471874,관광/숙박,라이크농원,,,,제주특별자치도 제주시 구좌읍 송당리 1396-3,제주특별자치도 제주시 송당7길 15,2015-12-31
65026,126.856659,33.520619,도로시설,세화리교차로,,,,제주특별자치도 제주시 구좌읍 세화리 1305-4,,2015-12-31
65027,126.675114,33.423719,음식점,사려니심팡,064-783-3069,,,제주특별자치도 제주시 조천읍 교래리 216-1,제주특별자치도 제주시 교래4길 73,2015-12-31
65028,126.853272,33.524744,금융기관,구좌농협중부지점,,,,제주특별자치도 제주시 구좌읍 평대리 3351-2,제주특별자치도 제주시 세평항로 13,2015-12-31
65029,126.857409,33.529052,교통시설,세화항구,,,,제주특별자치도 제주시 구좌읍 세화리 1500-65,,2015-12-31
65030,126.642977,33.53249,금융기관,제주감귤농협조천지소,,,,제주특별자치도 제주시 조천읍 조천리 1407-1,제주특별자치도 제주시 남조로 3061,2015-12-31
65031,126.667813,33.533157,농공시설,깐마늘가공공장,,,,제주특별자치도 제주시 조천읍 함덕리 840-1,제주특별자치도 제주시 함덕남4길 49,2015-12-31
65032,126.744271,33.413871,교통시설,사이프러스골프&리조트주차장,,,,제주특별자치도 서귀포시 표선면 성읍리 3238-14,,2015-12-31
65033,126.745971,33.415438,교통시설,사이프러스골프&리조트주차장,,,,제주특별자치도 서귀포시 표선면 성읍리 3229-1,,2015-12-31
65034,126.636479,33.475379,도로시설,회천리조트입구,,,,제주특별자치도 제주시 회천동 6-2,,2015-12-31
65035,126.612506,33.467221,교육기관,삼다운전학원,064-721-3198,,,제주특별자치도 제주시 봉개동 234-33,제주특별자치도 제주시 명림로 219-13,2015-12-31
65036,126.603807,33.486161,음식점,장미원가든,064-723-5999,,,제주특별자치도 제주시 봉개동 1433,제주특별자치도 제주시 고천이길 160,2015-12-31
65037,126.553261,33.502708,쇼핑/편의,제주시농산물공판장,,,,제주특별자치도 제주시 일도이동 2,,2015-12-31
65038,126.553361,33.502817,금융기관,제주시농협공판장지점,,,,제주특별자치도 제주시 일도이동 2,,2015-12-31
65039,126.519801,33.503216,교통시설,삼도1동사무소(구),,,,제주특별자치도 제주시 삼도일동 585-13,,2015-12-31
65040,126.560491,33.252828,의료/복지,유소아청소년과의원,064-732-5418,,,제주특별자치도 서귀포시 서귀동 301-9,제주특별자치도 서귀포시 중앙로 93,2015-12-31
65041,126.557079,33.253053,문화/종교/예술,서귀포교회,,,,제주특별자치도 서귀포시 서홍동 445-22,제주특별자치도 서귀포시 중앙로101번길 35,2015-12-31
65042,126.561991,33.253153,금융기관,기업은행(서귀포지점),,,,제주특별자치도 서귀포시 서귀동 284-28,제주특별자치도 서귀포시 일주동로 8667,2015-12-31
65043,126.845689,33.326482,쇼핑/편의,표선위판장,,,,제주특별자치도 서귀포시 표선면 표선리 45-5,제주특별자치도 서귀포시 표선당포로 29,2015-12-31
65044,126.828179,33.316608,자동차관련,한국타이어표선대리점,064-787-2522,,,제주특별자치도 서귀포시 표선면 표선리 1461-9,제주특별자치도 서귀포시 표선동서로 133-2,2015-12-31
65045,126.732588,33.281511,도로시설,HKJEJU3입구,,,,제주특별자치도 서귀포시 남원읍 태흥리 1786-2,제주특별자치도 서귀포시 남태해안로 296,2015-12-31
65046,126.743661,33.312657,교통시설,제주감귤농협제2유통센타,,,,제주특별자치도 서귀포시 남원읍 신흥리 1555,제주특별자치도 서귀포시 태신로130번길 170,2015-12-31
65047,126.807506,33.307342,도로시설,가마삼거리,,,,제주특별자치도 서귀포시 표선면 세화리 2489,제주특별자치도 서귀포시 돈오름로 53-35,2015-12-31
65048,126.710014,33.302091,농공시설,축산육가공공장,,,,제주특별자치도 서귀포시 남원읍 남원리 446,제주특별자치도 서귀포시 서의로 111,2015-12-31
65049,126.800969,33.3071,교육기관,가마어린이집,,,,제주특별자치도 서귀포시 표선면 세화리 1510,제주특별자치도 서귀포시 세화로26번길 33,2015-12-31
65050,126.717988,33.322664,도로시설,자연양돈장입구,,,,제주특별자치도 서귀포시 남원읍 의귀리 2004,제주특별자치도 서귀포시 원님로 1-4,2015-12-31
65051,126.767572,33.304617,공공기관,신흥일리복지회관,,,,제주특별자치도 서귀포시 남원읍 신흥리 212-1,제주특별자치도 서귀포시 신흥로 32-10,2015-12-31
65052,126.767021,33.326323,공공기관,토산리보건진료소,064-787-1800,,064-787-4104,제주특별자치도 서귀포시 표선면 토산리 1370-4,제주특별자치도 서귀포시 중산간동로5570번길 4,2015-12-31
65053,126.752685,33.320615,도로시설,신흥2리교차로,,,,제주특별자치도 서귀포시 남원읍 신흥리 1234-1,,2015-12-31
65054,126.767109,33.3029,문화/종교/예술,한국기독교장로회신흥교회,,,,제주특별자치도 서귀포시 남원읍 신흥리 214-6,제주특별자치도 서귀포시 신흥로 20,2015-12-31
65055,126.640959,33.264553,의료/복지,농어민건강관리실,,,,제주특별자치도 서귀포시 남원읍 신례리 58,제주특별자치도 서귀포시 공천포로 63,2015-12-31
65056,126.529075,33.499708,음식점,노래연습장,,,,제주특별자치도 제주시 이도이동 1772-22,제주특별자치도 제주시 신성로13길 3,2015-12-31
65057,126.535687,33.493826,치안기관,고등법원,,,,제주특별자치도 제주시 이도이동 950-1,제주특별자치도 제주시 남광북5길 3,2015-12-31
65058,126.519926,33.490792,공공기관,정보통신공사협회제주도회,,,,제주특별자치도 제주시 도남동 568-4,제주특별자치도 제주시 청사로1길 4,2015-12-31
65059,126.520126,33.491151,의료/복지,적십자사제주특별자치도혈액원,064-720-7800,,,제주특별자치도 제주시 도남동 567-3,제주특별자치도 제주시 오남로 45,2015-12-31
65060,126.513352,33.485534,관광/숙박,선화우펜션,064-744-1321,,,제주특별자치도 제주시 오라이동 1467-7,제주특별자치도 제주시 연사2길 39,2015-12-31
65061,126.517302,33.487626,공공기관,치과의사회,,,,제주특별자치도 제주시 오라이동 957-1,제주특별자치도 제주시 오남로 92,2015-12-31
65062,126.516602,33.486376,자동차관련,GS밝은주유소,064-746-0051,,,제주특별자치도 제주시 오라이동 1438-3,제주특별자치도 제주시 오남로 108,2015-12-31
65063,126.514265,33.473577,관광/숙박,방선문체험월드,064-744-0093,,,제주특별자치도 제주시 오라이동 861-1,,2015-12-31
65064,126.533525,33.503266,주택관련,태홍누리안2차아파트,,,,제주특별자치도 제주시 이도일동 1244-10,제주특별자치도 제주시 동광로9길 6,2015-12-31
65065,126.543149,33.500067,자동차관련,시훈카센타,,,,제주특별자치도 제주시 이도이동 416-2,제주특별자치도 제주시 연삼로 500,2015-12-31
65066,126.664119,33.270369,쇼핑/편의,위판장,,,,제주특별자치도 서귀포시 남원읍 위미리 1757-12,제주특별자치도 서귀포시 위미중앙로196번길 6-13,2015-12-31
65067,126.670256,33.27476,음식점,다래회집,064-764-6868,,,제주특별자치도 서귀포시 남원읍 위미리 1660,제주특별자치도 서귀포시 태위로 214,2015-12-31
65068,126.678755,33.291934,도로시설,대성동네거리,,,,제주특별자치도 서귀포시 남원읍 위미리 4591-71,제주특별자치도 서귀포시 남위남성로213번길 119-58,2015-12-31
65069,126.630234,33.270335,교통시설,작목회선과장,,,,제주특별자치도 서귀포시 남원읍 하례리 624-4,제주특별자치도 서귀포시 하신로 187,2015-12-31
65070,126.767584,33.301076,도로시설,신흥사거리,,,,제주특별자치도 서귀포시 남원읍 신흥리 2481,제주특별자치도 서귀포시 신흥고수로 30,2015-12-31
65071,126.53435,33.494967,금융기관,제주감귤농협동제주지점,,,,제주특별자치도 제주시 이도이동 1065-3,제주특별자치도 제주시 연삼로 400,2015-12-31
65072,126.542949,33.502508,쇼핑/편의,일공안경콘텍트,,,,제주특별자치도 제주시 일도이동 49-4,제주특별자치도 제주시 고마로 135,2015-12-31
65073,126.527501,33.495367,금융기관,제주축협도남지점,,,,제주특별자치도 제주시 도남동 84-3,제주특별자치도 제주시 신성로 76,2015-12-31
65074,126.568122,33.503275,교통시설,감귤선과장,,,,제주특별자치도 제주시 화북이동 2646-3,,2015-12-31
65075,126.581059,33.471295,교육기관,엔젤유치원,,,,제주특별자치도 제주시 월평동 416-3,제주특별자치도 제주시 월평9길 2-8,2015-12-31
65076,126.32937,33.944656,쇼핑/편의,수협간이위판장,,,,제주특별자치도 제주시 추자면 신양리 434-17,,2015-12-31
65077,126.57626,33.470187,교육기관,몬테소리어린이집,064-757-1244,,,제주특별자치도 제주시 월평동 502-1,제주특별자치도 제주시 아봉로 383,2015-12-31
65078,126.56736,33.47772,도로시설,영평초등학교입구,,,,제주특별자치도 제주시 영평동 1830-13,,2015-12-31
65079,126.551036,33.484244,주택관련,스위트홈프로빌아파트,,,,제주특별자치도 제주시 아라이동 1146-1,,2015-12-31
65080,126.549849,33.485693,의료/복지,은성사회복지관,,,,제주특별자치도 제주시 아라이동 1163-2,제주특별자치도 제주시 월두2길 65,2015-12-31
65081,126.311734,33.952771,치안기관,추자예비군훈련장,,,,제주특별자치도 제주시 추자면 묵리 569,,2015-12-31
65082,126.312209,33.945314,교통시설,묵리항구,,,,제주특별자치도 제주시 추자면 묵리 731-10,,2015-12-31
65083,126.317659,33.941389,관광/숙박,추자도피싱랜드민박,,,,제주특별자치도 제주시 추자면 묵리 135-2,,2015-12-31
65084,126.322746,33.932132,공공기관,위생처리장,,,,제주특별자치도 제주시 추자면 신양리 산 123,,2015-12-31
65085,126.538025,33.481735,의료/복지,구산마을복지회관,,,,제주특별자치도 제주시 아라일동 2405-3,제주특별자치도 제주시 구산로4길 17,2015-12-31
65086,126.544912,33.476061,교통시설,아라동사무소(구),,,,제주특별자치도 제주시 아라일동 1646-2,,2015-12-31
65087,126.534901,33.471203,교통시설,감귤농작반선과장,,,,제주특별자치도 제주시 오등동 577,제주특별자치도 제주시 대원길 72,2015-12-31
65088,126.326433,33.94563,도로시설,추자중입구,,,,제주특별자치도 제주시 추자면 신양리 347-1,제주특별자치도 제주시 신양3길 14,2015-12-31
65089,126.297698,33.959878,쇼핑/편의,밀물식당,064-742-2359,,,제주특별자치도 제주시 추자면 영흥리 8-3,제주특별자치도 제주시 추자로 106-1,2015-12-31
65090,126.295998,33.960487,공공기관,추자면보건지소,064-742-8404,,064-742-5339,제주특별자치도 제주시 추자면 영흥리 364-13,제주특별자치도 제주시 추자로 86,2015-12-31
65091,126.29466,33.961236,쇼핑/편의,KT라이프텔레콤추자점,,,,제주특별자치도 제주시 추자면 영흥리 367-9,,2015-12-31
65092,126.298297,33.962536,금융기관,수협ATM,,,,제주특별자치도 제주시 추자면 대서리 4-9,제주특별자치도 제주시 추자로 2,2015-12-31
65093,126.29986,33.957079,공공기관,추자119지역센터,064-742-3119,,,제주특별자치도 제주시 추자면 영흥리 42,,2015-12-31
65094,126.300235,33.957287,자동차관련,SK인양주유소,,,,제주특별자치도 제주시 추자면 영흥리 40,제주특별자치도 제주시 영흥4길 1,2015-12-31
65095,126.298235,33.962595,금융기관,수협,064-742-8193,,,제주특별자치도 제주시 추자면 대서리 4,,2015-12-31
65096,126.293698,33.961186,공공기관,상추자분국,,,,제주특별자치도 제주시 추자면 대서리 172-2,제주특별자치도 제주시 대서6길 10,2015-12-31
65097,126.295685,33.96267,치안기관,제주해경추자출장소,064-766-2132,,,제주특별자치도 제주시 추자면 대서리 147-5,제주특별자치도 제주시 추자로 37,2015-12-31
65098,126.295485,33.964461,교육기관,추자초교,064-742-8431,,064-742-3648,제주특별자치도 제주시 추자면 대서리 31,제주특별자치도 제주시 대서3길 10,2015-12-31
65100,126.325645,33.945139,교육기관,추자초교신양분교장,064-742-8421,,064-742-8422,제주특별자치도 제주시 추자면 신양리 486,제주특별자치도 제주시 추자로 553-10,2015-12-31
65101,126.267382,33.117071,치안기관,마라파출소초소,064-792-8501,,,제주특별자치도 서귀포시 대정읍 가파리 627,제주특별자치도 서귀포시 마라로77번길 15,2015-12-31
65102,126.267319,33.113897,문화/종교/예술,로빈손아저씨의집,064-792-3161,,,제주특별자치도 서귀포시 대정읍 가파리 12-71 ,,2015-12-31
65103,126.269494,33.116963,기업,표지관리소,,,,제주특별자치도 서귀포시 대정읍 가파리 642,,2015-12-31
65104,126.567861,33.44039,도로시설,제주산업정보대학후문,,,,제주특별자치도 제주시 영평동 산 8-4,,2015-12-31
65105,126.595795,33.490227,금융기관,제주시농협봉개지점,,,,제주특별자치도 제주시 봉개동 1854-3,제주특별자치도 제주시 번영로 503,2015-12-31
65106,126.587833,33.494076,자동차관련,농협동부동주유소,064-721-7200,,,제주특별자치도 제주시 봉개동 2589,제주특별자치도 제주시 번영로 421,2015-12-31
65107,126.510103,33.453896,의료/복지,인효원제주노인전문병원,064-759-5854,,,제주특별자치도 제주시 오라이동 2451-6,,2015-12-31
65108,126.544225,33.479544,자동차관련,현대편리한주유소,064-724-5123,,064-724-5124,제주특별자치도 제주시 아라이동 1582-1,제주특별자치도 제주시 중앙로 487,2015-12-31
65110,126.519801,33.495525,도로시설,종합경기장사거리,,,,제주특별자치도 제주시 오라일동 2455-9,,2015-12-31
65111,126.512689,33.495167,교통시설,오라동사무소(구),,,,제주특별자치도 제주시 오라일동 1246-6,,2015-12-31
65112,126.516514,33.49555,도로시설,애향운동장입구,,,,제주특별자치도 제주시 오라일동 1284-4,,2015-12-31
65113,126.514627,33.497608,공공기관,제주오라소방파출소(구),064-756-1176,,,제주특별자치도 제주시 오라일동 1165,제주특별자치도 제주시 서광로2길 24,2015-12-31
65114,126.57179,33.251828,문화/종교/예술,동신교회,064-763-7879,,,제주특별자치도 서귀포시 동홍동 170-11,제주특별자치도 서귀포시 동홍중앙로 13,2015-12-31
65115,126.514714,33.495992,공공기관,체육시설관리사무소,,,,제주특별자치도 제주시 오라일동 1137,,2015-12-31
65116,126.514564,33.496067,공공기관,택견제주지회,,,,제주특별자치도 제주시 오라일동 1137,,2015-12-31
65117,126.516927,33.496583,교육기관,제주종합경기장시민체력단련장,,,,제주특별자치도 제주시 오라일동 1111,,2015-12-31
65118,126.516064,33.496325,도로시설,제주종합경기장입구,,,,제주특별자치도 제주시 오라일동 1138-1,,2015-12-31
65119,126.516064,33.4997,쇼핑/편의,디지털프라자제주점,064-752-4488,,,제주특별자치도 제주시 삼도일동 560,제주특별자치도 제주시 서광로 184,2015-12-31
65120,126.563986,33.452856,교육기관,제주대학교의과대학,,,,제주특별자치도 제주시 아라일동 1,제주특별자치도 제주시 제주대학로 64-29,2015-12-31
65121,126.561061,33.460046,쇼핑/편의,씨유제주캠퍼스점,064-724-1819,,,제주특별자치도 제주시 아라이동 35-19,제주특별자치도 제주시 제주대학로 105-1,2015-12-31
65122,126.561499,33.46028,음식점,제주대김가네,064-726-0035,,,제주특별자치도 제주시 아라이동 35-21,제주특별자치도 제주시 제주대학로 107,2015-12-31
65123,126.548513,33.427258,교육기관,농진청국립축산과학원제주출장소,,,,제주특별자치도 제주시 오등동 산 175-6,제주특별자치도 제주시 산록북로 593-50,2015-12-31
65124,126.520089,33.499566,금융기관,NH농협(서광로지점),,,,제주특별자치도 제주시 삼도일동 570,제주특별자치도 제주시 서광로 220,2015-12-31
65125,126.527263,33.500125,문화/종교/예술,제주CGV,1544-1122,,,제주특별자치도 제주시 이도이동 1776-3 ,제주특별자치도 제주시 서광로 288,2015-12-31
65126,126.527263,33.500091,금융기관,국민은행(제주서광로지점),064-743-1971,,,제주특별자치도 제주시 이도이동 273-11,,2015-12-31
65127,126.527263,33.500033,음식점,뚜레주르,,,,제주특별자치도 제주시 이도이동 1776-3,제주특별자치도 제주시 서광로 288,2015-12-31
65128,126.558711,33.450372,문화/종교/예술,국산목재주택전시관,,,,제주특별자치도 제주시 아라일동 362-20,제주특별자치도 제주시 산천단동3길 30,2015-12-31
65129,126.561136,33.447398,교육기관,한국폴리텍1대학제주캠퍼스,,,,제주특별자치도 제주시 아라일동 362-32,제주특별자치도 제주시 산천단동3길 2,2015-12-31
65130,126.515577,33.501724,공공기관,한국스카우트연맹,,,,제주특별자치도 제주시 삼도일동 504-4,제주특별자치도 제주시 평전3길 34-1,2015-12-31
65131,126.519076,33.499183,자동차관련,한국타이어해성카리페어즈,064-753-0401,,,제주특별자치도 제주시 삼도일동 566-3,,2015-12-31
65132,126.507252,33.493242,자동차관련,현대굿모닝주유소,064-747-1151,,,제주특별자치도 제주시 오라삼동 2138,제주특별자치도 제주시 연삼로 135,2015-12-31
65133,126.538725,33.493551,도로시설,제주도제주시교육지원청입구,,,,제주특별자치도 제주시 이도이동 569,,2015-12-31
65134,126.499253,33.490625,도로시설,제주소방본부입구,,,,제주특별자치도 제주시 연동 311-51,제주특별자치도 제주시 신대로9길 22,2015-12-31
65135,126.549236,33.502825,주택관련,수선화아파트,,,,제주특별자치도 제주시 일도이동 113-1,제주특별자치도 제주시 연삼로 560-1,2015-12-31
65136,126.550224,33.500967,주택관련,일도대림아파트1차,,,,제주특별자치도 제주시 일도이동 113-4,제주특별자치도 제주시 태성로 31,2015-12-31
65137,126.526701,33.490692,공공기관,국민연금제주지사,064-720-4001,,064-720-5706,제주특별자치도 제주시 도남동 664-6 ,,2015-12-31
65138,126.526063,33.490276,도로시설,제주지방합동청사정문,,,,제주특별자치도 제주시 도남동 662,제주특별자치도 제주시 청사로 59,2015-12-31
65139,126.526076,33.491059,도로시설,제주지방합동청사후문,,,,제주특별자치도 제주시 도남동 662,제주특별자치도 제주시 청사로 59,2015-12-31
65140,126.530188,33.491509,주택관련,고덕쉐르빌,,,,제주특별자치도 제주시 도남동 73,제주특별자치도 제주시 도남로15길 18,2015-12-31
65141,126.533625,33.495142,자동차관련,타이어오뱅크구제주점,,,,제주특별자치도 제주시 이도이동 1058-12,제주특별자치도 제주시 연삼로 395,2015-12-31
65142,126.535937,33.492801,의료/복지,강미정소아청소년과의원,,,,제주특별자치도 제주시 이도이동 1080-20,제주특별자치도 제주시 중앙로 319,2015-12-31
65143,126.53585,33.492751,쇼핑/편의,씨유제주법원점,064-756-7662,,,제주특별자치도 제주시 이도이동 1080-21,제주특별자치도 제주시 중앙로 319-1,2015-12-31
65144,126.521364,33.485526,공공기관,분재예술협회,064-722-0507,,,제주특별자치도 제주시 도남동 1136,제주특별자치도 제주시 원남2길 26,2015-12-31
65145,126.529863,33.486193,자동차관련,정비카프라자,,,,제주특별자치도 제주시 도남동 183-4,제주특별자치도 제주시 원남6길 33,2015-12-31
65146,126.529663,33.489726,주택관련,무지개아파트,,,,제주특별자치도 제주시 도남동 69,제주특별자치도 제주시 도남로 125,2015-12-31
65147,126.525576,33.492359,자동차관련,매직카클리닉,,,,제주특별자치도 제주시 도남동 60-5,제주특별자치도 제주시 연삼로 309,2015-12-31
65148,126.528863,33.500375,의료/복지,삼육오제주의원,064-753-4646,,,제주특별자치도 제주시 이도이동 1773-5,제주특별자치도 제주시 서광로 302,2015-12-31
65149,126.508933,33.248936,쇼핑/편의,서귀터미널GS25,,,,제주특별자치도 서귀포시 법환동 841-2,제주특별자치도 서귀포시 일주동로 9209,2015-12-31
65150,126.508158,33.248844,교통시설,서귀포시외터미널(법환동),064-739-4645,,,제주특별자치도 서귀포시 법환동 843,제주특별자치도 서귀포시 일주동로 9213,2015-12-31
65151,126.50917,33.248802,금융기관,제주은행서귀월드지점,064-738-6021,,,제주특별자치도 서귀포시 법환동 843,제주특별자치도 서귀포시 일주동로 9213,2015-12-31
65152,126.563853,33.247837,의료/복지,우리들소아청소년과,064-732-2323,,,제주특별자치도 서귀포시 서귀동 370-12,제주특별자치도 서귀포시 중정로 70,2015-12-31
65153,126.563453,33.24492,음식점,원덕성원본점,064-762-2402,,,제주특별자치도 서귀포시 서귀동 472-1,,2015-12-31
65154,126.565503,33.24662,도로시설,정방동사무소입구(구),,,,제주특별자치도 서귀포시 서귀동 542-4,,2015-12-31
65155,126.570015,33.245062,음식점,정방회집,064-733-9390,064-733-9399,,제주특별자치도 서귀포시 서귀동 101-4,제주특별자치도 서귀포시 칠십리로 157,2015-12-31
65156,126.56669,33.245137,교통시설,송산동사무소(구),,,,제주특별자치도 서귀포시 서귀동 962-89,제주특별자치도 서귀포시 태평로442번길 17,2015-12-31
65157,126.56699,33.243537,도로시설,서귀포초교후문,,,,제주특별자치도 서귀포시 서귀동 52-4,,2015-12-31
65158,126.565378,33.244604,교통시설,송산동사무소(구),,,,제주특별자치도 서귀포시 서귀동 558-1,제주특별자치도 서귀포시 부두로 3,2015-12-31
65159,126.565178,33.244437,교통시설,송산동사무소(구),,,,제주특별자치도 서귀포시 서귀동 575-2,제주특별자치도 서귀포시 부두로 8,2015-12-31
65160,126.573765,33.249911,의료/복지,서귀포사회복지관,064-733-0677,,,제주특별자치도 서귀포시 동홍동 353-1,제주특별자치도 서귀포시 태평로512번길 9,2015-12-31
65161,126.573177,33.251053,자동차관련,태화공업사,,,,제주특별자치도 서귀포시 동홍동 183-3,,2015-12-31
65162,126.559741,33.244562,금융기관,제주은행ATM,,,,제주특별자치도 서귀포시 서홍동 666-1,제주특별자치도 서귀포시 남성중로 2-15,2015-12-31
65163,126.504508,33.251035,도로시설,그린하이츠빌라후문,,,,제주특별자치도 서귀포시 강정동 188-6,,2015-12-31
65164,126.507308,33.252119,기업,KTNG서귀포지점,,,,제주특별자치도 서귀포시 강정동 173-4,제주특별자치도 서귀포시 김정문화로 23,2015-12-31
65165,126.512283,33.249244,도로시설,서호1차현대맨션후문,,,,제주특별자치도 서귀포시 법환동 760,,2015-12-31
65166,126.511533,33.249427,주택관련,서호1차현대맨션,,,,제주특별자치도 서귀포시 법환동 749-1,제주특별자치도 서귀포시 신서귀로 8,2015-12-31
65167,126.510308,33.249777,도로시설,서호1차현대맨션정문,,,,제주특별자치도 서귀포시 법환동 749-1,제주특별자치도 서귀포시 신서귀로 8,2015-12-31
65168,126.540168,33.247153,관광/숙박,꿈꾸는숲펜션,,,,제주특별자치도 서귀포시 호근동 214-6,제주특별자치도 서귀포시 태평로205번길 43-7,2015-12-31
65169,126.525206,33.245961,교통시설,대륜동사무소(구),,,,제주특별자치도 서귀포시 서호동 32,,2015-12-31
65170,126.528856,33.241187,도로시설,서귀포시위생처리장입구,,,,제주특별자치도 서귀포시 호근동 2142,제주특별자치도 서귀포시 중산간동로 8290-4,2015-12-31
65171,126.514258,33.235537,문화/종교/예술,법환청소년문화의집,064-738-4116,,,제주특별자치도 서귀포시 법환동 162-4,제주특별자치도 서귀포시 막숙포로 70-1,2015-12-31
65172,126.599338,33.242763,도로시설,보목동교차로,,,,제주특별자치도 서귀포시 보목동 666-2,,2015-12-31
65173,126.59515,33.243829,자동차관련,삼도카센터,,,,제주특별자치도 서귀포시 보목동 1233-2,제주특별자치도 서귀포시 칠십리로 410-3,2015-12-31
65174,126.577189,33.25207,문화/종교/예술,서귀포제일교회,064-733-0502,,,제주특별자치도 서귀포시 토평동 821,제주특별자치도 서귀포시 정방연로 48,2015-12-31
65175,126.593276,33.243737,관광/숙박,향림원펜션,064-733-5799,,,제주특별자치도 서귀포시 보목동 1239-4,제주특별자치도 서귀포시 칠십리로394번길 8-3,2015-12-31
65176,126.520776,33.517614,쇼핑/편의,탑동공원GS25,064-723-8835,,,제주특별자치도 제주시 삼도이동 1192-4,제주특별자치도 제주시 탑동로 37,2015-12-31
65177,126.521276,33.517848,금융기관,신협ATM,,,,제주특별자치도 제주시 삼도이동 1259-2,,2015-12-31
65178,126.528413,33.512757,쇼핑/편의,동문시장,064-722-5109,,,제주특별자치도 제주시 일도일동 1103,제주특별자치도 제주시 동문로4길 9,2015-12-31
65179,126.525363,33.512457,도로시설,동문재래시장입구,,,,제주특별자치도 제주시 이도일동 1349-60,,2015-12-31
